match_id,date,date_unix,status,game_week,season,fetch_date,league_id,league_name,homeID,home_name,awayID,away_name,team_a_xg_prematch,team_b_xg_prematch,pre_match_teamA_ppg,pre_match_teamB_ppg,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_1_prob,odds_ft_x_prob,odds_ft_2_prob,odds_ft_over05,odds_ft_under05,odds_ft_over15,odds_ft_under15,odds_ft_over25,odds_ft_under25,odds_ft_over35,odds_ft_under35,odds_ft_over45,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,btts_potential,o05_potential,o15_potential,o25_potential,o35_potential,o45_potential,CTMCL,IP_OVER,avg_goals_market,pre_total_xg,odds_1st_half_1,odds_1st_half_x,odds_1st_half_2,odds_corners_over_85,odds_corners_over_95,team_a_attacks,team_b_attacks,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_penalties_won,team_b_penalties_won
8405672,2026-03-19 02:07:00,1773886020,complete,9,2025/2026,2026-03-19,15234,Mexico Liga MX,1431,Guadalajara,1434,León,1.5,1.36,,,1.36,5.0,7.5,0.6880733944954128,0.1871559633027523,0.12477064220183487,1.03,15.0,1.13,5.0,1.5,2.4,2.35,1.5,4.2,1.19,1.77,1.95,1.11,0,3.2,52,95,77,56,23,18,2.6666666666666665,0.6666666666666666,2.29,2.8600000000000003,,,,1.58,2.24,150,44,89,29,1,0
8238591,2026-03-20 17:30:00,1774027800,incomplete,30,2025/2026,2026-03-20,15068,Italy Serie A,455,Cagliari,74,Napoli,1.07,1.4,,,5.75,3.7,1.61,0.16325244248345416,0.2537031200756382,0.5830444374409077,1.07,7.2,1.4,2.75,2.2,1.62,4.2,1.2,8.5,1.06,2.1,1.62,1.29,0,1.14,38,97,72,42,21,7,2.4545454545454546,0.45454545454545453,2.2,2.4699999999999998,,,,1.66,2.57,0,0,0,0,0,0
8007409,2026-03-20 19:00:00,1774033200,incomplete,28,2025/2026,2026-03-20,14936,Netherlands Eredivisie,370,Heracles,374,Excelsior,1.52,1.25,,,2.45,3.4,2.7,0.3805181347150259,0.27419689119170987,0.34528497409326425,1.01,8.6,1.25,3.95,1.7,2.1,2.85,1.4,5.5,1.15,1.55,2.3,1.25,0,1.5,62,92,89,69,35,27,2.588235294117647,0.5882352941176471,2.3,2.77,,,,1.37,1.62,0,0,0,0,0,0
8227694,2026-03-20 19:30:00,1774035000,incomplete,27,2025/2026,2026-03-20,14968,Germany Bundesliga,46,RB Leipzig,49,Hoffenheim,1.96,1.42,,,1.95,4.0,3.5,0.48908296943231444,0.23842794759825325,0.2724890829694323,1.01,21.0,1.07,6.5,1.38,2.9,2.0,1.81,3.14,1.3,1.4,2.85,1.25,0,1.85,69,96,96,70,50,23,2.7246376811594204,0.7246376811594204,2.24,3.38,,,,1.4,1.75,0,0,0,0,0,0
8206481,2026-03-20 19:45:00,1774035900,incomplete,27,2025/2026,2026-03-20,14932,France Ligue 1,449,Lens,444,Angers SCO,1.72,0.89,,,1.3,5.35,10.0,0.7283370771220474,0.17697910285208632,0.09468382002586617,1.01,13.0,1.19,4.3,1.67,2.21,2.7,1.45,4.8,1.13,2.08,1.68,1.02,0,3.64,31,96,58,43,19,8,2.5988023952095807,0.5988023952095809,2.35,2.61,,,,1.52,1.86,0,0,0,0,0,0
8238493,2026-03-20 19:45:00,1774035900,incomplete,30,2025/2026,2026-03-20,15068,Italy Serie A,460,Genoa,466,Udinese,1.33,1.12,,,2.21,3.2,3.65,0.43552025653932924,0.30078117717247427,0.2636985662881966,1.08,6.5,1.48,2.64,2.45,1.51,4.8,1.14,8.6,1.05,2.13,1.74,1.24,0,1.73,56,94,76,59,28,10,2.4081632653061225,0.4081632653061224,2.33,2.45,,,,1.71,2.5,0,0,0,0,0,0
8200634,2026-03-20 20:00:00,1774036800,incomplete,29,2025/2026,2026-03-20,14956,Spain La Liga,76,Villarreal,290,Real Sociedad,1.65,1.43,,,1.91,3.68,3.7,0.49134303798381923,0.2550177180839931,0.25363924393218773,1.02,12.0,1.22,3.74,1.84,2.0,2.98,1.36,5.5,1.14,1.67,2.02,1.25,0,1.85,65,100,86,54,33,14,2.5434782608695654,0.5434782608695652,2.18,3.08,,,,1.53,2.0,0,0,0,0,0,0
8223833,2026-03-20 20:00:00,1774036800,incomplete,31,2025/2026,2026-03-20,15050,England Premier League,148,AFC Bournemouth,149,Manchester United,1.6,1.58,,,2.97,3.76,2.1,0.31209239452652543,0.24651979035738844,0.441387815116086,1.02,18.0,1.18,4.75,1.55,2.4,2.28,1.57,4.2,1.22,1.47,2.65,1.29,0,1.34,74,90,80,57,37,17,2.6451612903225805,0.6451612903225806,2.27,3.18,,,,1.35,1.59,0,0,0,0,0,0
8227347,2026-03-20 20:15:00,1774037700,incomplete,27,2025/2026,2026-03-20,15115,Portugal Liga NOS,15804,Estrela Amadora,4810,Casa Pia,1.36,0.99,,,2.55,3.2,2.8,0.3693322341302556,0.2943116240725474,0.33635614179719703,1.07,8.0,1.4,2.72,2.25,1.61,4.05,1.22,8.5,1.06,1.92,1.85,1.36,0,1.5,39,89,77,54,35,8,2.4444444444444446,0.4444444444444444,2.27,2.35,,,,1.68,1.94,0,0,0,0,0,0
8405546,2026-03-21 01:00:00,1774054800,incomplete,12,2025/2026,2026-03-21,15234,Mexico Liga MX,1428,Necaxa,1418,Tijuana,1.5,1.29,,,2.2,3.75,3.1,0.43547480801648253,0.2554785540363364,0.3090466379471811,1.03,11.6,1.2,3.98,1.67,2.2,2.7,1.41,4.45,1.19,1.53,2.3,1.27,0,1.66,57,93,80,53,32,17,2.5988023952095807,0.5988023952095809,2.23,2.79,,,,1.49,1.81,0,0,0,0,0,0
